instance_id,node_id,x,y,cpu,memory,neighbors
2,12,0.494377,0.243984,0.6214,0.6525,0;4;6;17;26;29;32;36;48;49
2,13,0.656058,0.005545,0.8597,0.3196,2;6;9;17;32;34
2,14,0.750964,0.770046,0.1163,0.2914,5;22;25;38;39;42
2,15,0.106587,0.425146,0.2010,0.6017,3;8;30;31
2,16,0.175887,0.957966,0.5512,0.3308,18
2,17,0.517958,0.050218,0.6596,0.6601,0;12;13;26;32;34;36;40;46;48;49
2,18,0.249198,0.848336,0.2342,0.5643,11;16;19;27;33;37;41;43;47
2,19,0.456462,0.801417,0.6983,0.2687,1;10;18;21;37;38;41;43;44;47
2,20,0.667578,0.987892,0.7554,0.7788,1;21;42
2,21,0.595452,0.950040,0.1865,0.2154,1;19;20;37
2,22,0.891426,0.612652,0.3496,0.6064,5;14;23;24;25;28;39
2,23,0.719274,0.504778,0.8665,0.4380,4;22;24;28;44
2,24,0.830569,0.547872,0.6720,0.2456,5;22;23;25;28;39
2,25,0.897208,0.743655,0.6525,0.5763,5;14;22;24;39;42
2,26,0.474674,0.259192,0.1815,0.6635,0;4;6;12;17;29;31;32;36;48;49
2,27,0.247240,0.637661,0.7802,0.5602,3;8;10;11;18;33;35;41;43;47
2,28,0.765814,0.521300,0.1968,0.7903,22;23;24
2,29,0.626748,0.274597,0.7261,0.4083,0;2;4;6;12;26;32;49
2,30,0.077483,0.285728,0.4427,0.4223,15;31;45
2,31,0.271715,0.319710,0.5048,0.4047,0;8;15;26;30;36;45;48
2,32,0.540152,0.138374,0.7797,0.6934,0;4;6;12;13;17;26;29;34;36;40;46;48;49
2,33,0.231261,0.693950,0.1844,0.7765,8;10;11;18;27;41;43;47
2,34,0.706419,0.064229,0.6085,0.6972,2;6;9;13;17;32
2,35,0.407599,0.542611,0.6658,0.4613,8;10;27;41;43;44;47
2,36,0.415774,0.206834,0.6870,0.7793,0;12;17;26;31;32;40;45;46;48;49
2,37,0.420144,0.904838,0.3161,0.6849,1;18;19;21;41;43
2,38,0.584079,0.695523,0.5305,0.4901,10;14;19;43;44
2,39,0.856732,0.765595,0.4485,0.6386,5;14;22;24;25;42
2,40,0.380381,0.005896,0.3147,0.7110,0;7;17;32;36;46;48;49
2,41,0.351759,0.753475,0.7646,0.2520,1;10;11;18;19;27;33;35;37;43;47
2,42,0.853448,0.953430,0.8053,0.3463,5;14;20;25;39
2,43,0.419021,0.747516,0.4718,0.5662,1;10;18;19;27;33;35;37;38;41;44;47
2,44,0.546132,0.603253,0.4032,0.2172,10;19;23;35;38;43
2,45,0.220539,0.219422,0.7808,0.3091,7;30;31;36;48
2,46,0.435836,0.029025,0.2697,0.6787,0;17;32;36;40;48;49
2,47,0.336130,0.679142,0.3723,0.7282,10;11;18;19;27;33;35;41;43
2,48,0.404317,0.165045,0.6609,0.3658,0;12;17;26;31;32;36;40;45;46;49
2,49,0.467390,0.127628,0.1081,0.7688,0;12;17;26;29;32;36;40;46;48
3,0,0.647635,0.908411,0.3263,0.3791,5;20;32;49
3,1,0.826631,0.071410,0.5696,0.7993,16;31
3,2,0.165923,0.307612,0.4917,0.2892,8;9;19;29
3,3,0.748958,0.569207,0.5309,0.4071,5;6;11;17;23;30;40;41;45
3,4,0.288611,0.124354,0.5415,0.5261,7;9;18;19;39
3,5,0.688678,0.699734,0.4643,0.3931,0;3;11;17;20;23;30;41;49
3,6,0.942676,0.500472,0.2509,0.6185,3;11;23;27;40;45
3,7,0.493795,0.080442,0.5574,0.3401,4;18;35;37;39
3,8,0.039861,0.432029,0.7204,0.2262,2;29;36
3,9,0.322322,0.250368,0.6958,0.6231,2;4;19;24;29;39
3,10,0.091327,0.961911,0.7491,0.4316,14;22;34
3,11,0.835959,0.575199,0.6310,0.6924,3;5;6;23;27;30;40;41;45
3,12,0.950786,0.999572,0.8847,0.4972,38;46
3,13,0.672282,0.269511,0.1296,0.5014,28;31;35;37;44
3,14,0.040232,0.756269,0.5721,0.7218,10
3,15,0.470501,0.651509,0.7994,0.4642,17;21;26;33;49
3,16,0.916073,0.181489,0.5208,0.4742,1;31;43
3,17,0.585330,0.634785,0.6780,0.4460,3;5;15;26;30;33;41;49
3,18,0.491726,0.091242,0.6238,0.2926,4;7;35;37;39
3,19,0.347961,0.333308,0.4756,0.7815,2;4;9;24;26;28;29;44
3,20,0.670134,0.857733,0.3708,0.6156,0;5;32;46;49
3,21,0.329804,0.693674,0.6199,0.7111,15;26;33;42;47;49
3,22,0.288218,0.945194,0.7819,0.7156,10;25;34;42;47;48
3,23,0.813566,0.550097,0.4040,0.3900,3;5;6;11;27;30;40;41;45
3,24,0.454826,0.314517,0.6750,0.6556,9;19;26;28;35;39;44
3,25,0.323274,0.970185,0.7979,0.2215,22;34;42;47;48
3,26,0.404175,0.514596,0.1547,0.5787,15;17;19;21;24;28;33;44
3,27,0.988119,0.657660,0.8367,0.7985,6;11;23;45
3,28,0.542594,0.413248,0.6974,0.4604,13;19;24;26;35;41;44
3,29,0.187583,0.361779,0.1788,0.5802,2;8;9;19;36
3,30,0.756443,0.625409,0.7981,0.4662,3;5;11;17;23;40;41;45
3,31,0.759991,0.203558,0.6552,0.7421,1;13;16;35
3,32,0.549220,0.927673,0.1368,0.6777,0;20;48;49
3,33,0.438116,0.698250,0.3347,0.4249,15;17;21;26;42;47;49
3,34,0.121426,0.973147,0.2165,0.5187,10;22;25;42
3,35,0.608872,0.239297,0.5527,0.6755,7;13;18;24;28;31;37;39;44
3,36,0.158378,0.550839,0.2360,0.2474,8;29
3,37,0.552251,0.093209,0.7967,0.5718,7;13;18;35;39
3,38,0.992257,0.912930,0.2927,0.7477,12;46
3,39,0.461448,0.117466,0.2145,0.4767,4;7;9;18;24;35;37
3,40,0.832143,0.498376,0.3032,0.3532,3;6;11;23;30;41;45
3,41,0.716603,0.508872,0.1075,0.6828,3;5;11;17;23;28;30;40;44;45
3,42,0.273425,0.834724,0.8210,0.6066,21;22;25;33;34;47;48
3,43,0.980245,0.243731,0.2264,0.4650,16
3,44,0.551265,0.383586,0.3765,0.5525,13;19;24;26;28;35;41
3,45,0.921868,0.508241,0.6112,0.4546,3;6;11;23;27;30;40;41
3,46,0.879326,0.864027,0.3001,0.7072,12;20;38
3,47,0.276247,0.790006,0.2594,0.4308,21;22;25;33;42;48
3,48,0.414942,0.934248,0.4866,0.3423,22;25;32;42;47;49
3,49,0.507738,0.820549,0.5575,0.5449,0;5;15;17;20;21;32;33;48
4,0,0.099355,0.685680,0.3637,0.2733,8;9;13;17;23;31;47
4,1,0.544466,0.977843,0.3829,0.5992,34;37
4,2,0.358674,0.398140,0.7002,0.7209,18;26;28;35;40;41
4,3,0.189809,0.122160,0.6768,0.7810,10;14;15;18;19;32;44
4,4,0.848033,0.454717,0.5803,0.4110,7;11;20;21;22;29;48
4,5,0.662769,0.641704,0.5623,0.3276,20;21;22;29;33;37;38;48;49
4,6,0.597146,0.021357,0.6254,0.3345,16;36;42
4,7,0.786795,0.243569,0.1866,0.7072,4;11;30;39;46
4,8,0.125924,0.564578,0.3940,0.6576,0;9;23;31;47
4,9,0.068610,0.765157,0.5593,0.6843,0;8;12;13;17;31;47
4,10,0.207157,0.215951,0.7761,0.7847,3;14;15;18;19;32;44
4,11,0.869695,0.328560,0.7547,0.5681,4;7;21;22;39
4,12,0.147554,0.900531,0.6142,0.2158,9;13;17;34;47
4,13,0.002836,0.858406,0.8433,0.6977,0;9;12;17;47
4,14,0.144688,0.129992,0.3140,0.3082,3;10;15;18;19;32
4,15,0.250654,0.174497,0.6622,0.3854,3;10;14;18;19;32;40;42;44
4,16,0.661058,0.025780,0.3719,0.2037,6;36;39;46
4,17,0.014860,0.789985,0.7959,0.5398,0;9;12;13;31;47
4,18,0.237932,0.323771,0.4206,0.2851,2;3;10;14;15;32;41;44
4,19,0.174246,0.052399,0.6065,0.2184,3;10;14;15
4,20,0.741718,0.526086,0.6969,0.3291,4;5;21;22;29;33;48;49
4,21,0.745665,0.476246,0.4359,0.4045,4;5;11;20;22;29;33;35;48;49
4,22,0.778017,0.513238,0.3960,0.6330,4;5;11;20;21;29;33;48;49
4,23,0.109054,0.503839,0.7215,0.5406,0;8;31
4,24,0.945416,0.043365,0.1680,0.2316,27;30;45;46
4,25,0.783227,0.866981,0.2259,0.5707,37;38
4,26,0.521451,0.458043,0.6392,0.3633,2;28;29;33;35;41;49
4,27,0.964026,0.060825,0.6296,0.4914,24;30;45;46
4,28,0.478982,0.401617,0.4536,0.3639,2;26;33;35;40;41;49
4,29,0.686097,0.490269,0.7040,0.2683,4;5;20;21;22;26;33;35;48;49
4,30,0.909701,0.073491,0.4439,0.3699,7;24;27;45;46
4,31,0.080790,0.608297,0.6428,0.4920,0;8;9;17;23;47
4,32,0.065682,0.275016,0.6337,0.2273,3;10;14;15;18
4,33,0.633077,0.548356,0.4162,0.5596,5;20;21;22;26;28;29;35;48;49
4,34,0.325185,0.994628,0.1061,0.3809,1;12
4,35,0.530557,0.453715,0.2690,0.2823,2;21;26;28;29;33;41;49
4,36,0.605427,0.099178,0.3044,0.3969,6;16;39;40;42
4,37,0.701779,0.852793,0.1062,0.6482,1;5;25;38
4,38,0.650917,0.768963,0.2406,0.4281,5;25;37;49
4,39,0.720840,0.215023,0.6629,0.5002,7;11;16;36;46
4,40,0.451555,0.228494,0.7667,0.6837,2;15;28;36;42;44
4,41,0.338932,0.453499,0.1577,0.7171,2;18;26;28;35
4,42,0.415990,0.095086,0.1338,0.2112,6;15;36;40;44
4,43,0.426764,0.665108,0.8369,0.7173,49
4,44,0.374301,0.152639,0.5606,0.5440,3;10;15;18;40;42
4,45,0.922985,0.067133,0.6676,0.4506,24;27;30;46
4,46,0.831772,0.093230,0.1921,0.2125,7;16;24;27;30;39;45
4,47,0.096564,0.738796,0.3598,0.6808,0;8;9;12;13;17;31
4,48,0.811769,0.556371,0.5945,0.6992,4;5;20;21;22;29;33
4,49,0.586465,0.561586,0.8358,0.2529,5;20;21;22;26;28;29;33;35;38;43
5,0,0.813185,0.670116,0.3409,0.2286,1;2;10;14;21;26;29;40;41;43;47;48
5,1,0.828959,0.738775,0.4359,0.6763,0;10;14;26;29;40;41;43;47
5,2,0.685414,0.526393,0.4657,0.2665,0;3;19;21;22;29;47;48
5,3,0.646025,0.423406,0.8241,0.5580,2;16;17;19;20;21;22;32;48
5,4,0.361828,0.362598,0.1131,0.5092,13;16;18;20;24;25;35
5,5,0.180263,0.214193,0.2936,0.2861,7;11;13;42;46;49
5,6,0.947668,0.486271,0.4434,0.5689,19;21;22;29;47
5,7,0.226543,0.137565,0.2925,0.4499,5;13;36;39;42;46;49
5,8,0.077165,0.844428,0.6315,0.2514,9;30;38;44
5,9,0.101141,0.770875,0.8797,0.2406,8;28;30;44
5,10,0.835120,0.883682,0.5208,0.5044,0;1;14;23;26;40;41;43
5,11,0.037747,0.336764,0.8907,0.5325,5;35;37;42;46;49
5,12,0.766308,0.131049,0.4124,0.4821,15;17;27;31;32;33
5,13,0.376720,0.162247,0.6085,0.7886,4;5;7;18;20;24;36;39;45
5,14,0.831345,0.771098,0.3029,0.2097,0;1;10;26;40;41;43
5,15,0.809044,0.165539,0.7308,0.4069,12;17;22;27;31;32;33
5,16,0.437673,0.410859,0.6864,0.5770,3;4;18;20;24;25;35
5,17,0.676363,0.237530,0.7172,0.6411,3;12;15;20;22;24;27;31;32
5,18,0.444199,0.284928,0.3660,0.2266,4;13;16;20;24
5,19,0.748537,0.448928,0.5368,0.6881,2;3;6;21;22;29;31;32;47;48
5,20,0.534011,0.309468,0.2401,0.6675,3;4;13;16;17;18;24
5,21,0.808624,0.469016,0.4717,0.6172,0;2;3;6;19;22;29;31;32;47;48
5,22,0.835113,0.367841,0.6054,0.6869,2;3;6;15;17;19;21;29;31;32;47;48
5,23,0.947130,0.984440,0.1505,0.6657,10;26;40
5,24,0.461680,0.281772,0.4661,0.3761,4;13;16;17;18;20
5,25,0.381872,0.527460,0.1350,0.3197,4;16;28;35
5,26,0.966268,0.816891,0.1335,0.7600,0;1;10;14;23;40;43
5,27,0.801259,0.138399,0.5123,0.7935,12;15;17;31;32;33
5,28,0.250003,0.641179,0.5344,0.3520,9;25;35;44
5,29,0.874117,0.554541,0.7026,0.3147,0;1;2;6;19;21;22;43;47;48
5,30,0.102590,0.845892,0.3856,0.6685,8;9;38;44
5,31,0.851166,0.285063,0.7926,0.3992,12;15;17;19;21;22;27;32;33
5,32,0.763117,0.272791,0.1996,0.4208,3;12;15;17;19;21;22;27;31;33
5,33,0.905306,0.147349,0.8116,0.6460,12;15;27;31;32
5,34,0.437473,0.946413,0.8157,0.4320,38
5,35,0.222038,0.451128,0.8790,0.4977,4;11;16;25;28;37;42;49
5,36,0.349585,0.026670,0.4980,0.7546,7;13;39;45
5,37,0.053257,0.502007,0.5154,0.6807,11;35
5,38,0.235778,0.994525,0.6817,0.2474,8;30;34
5,39,0.374913,0.028188,0.5820,0.6934,7;13;36;45
5,40,0.930826,0.839176,0.5364,0.3927,0;1;10;14;23;26;43
5,41,0.649961,0.791381,0.1641,0.5966,0;1;10;14;43
5,42,0.137600,0.286879,0.3452,0.5616,5;7;11;35;46;49
5,43,0.829762,0.696072,0.4409,0.6139,0;1;10;14;26;29;40;41;47;48
5,44,0.138793,0.705536,0.3812,0.2254,8;9;28;30
5,45,0.448601,0.005251,0.7960,0.4115,13;36;39
5,46,0.079226,0.255924,0.8985,0.3647,5;7;11;42;49
5,47,0.834963,0.548804,0.8840,0.7687,0;1;2;6;19;21;22;29;43;48
5,48,0.727235,0.527772,0.1600,0.5825,0;2;3;19;21;22;29;43;47
5,49,0.111187,0.288102,0.3906,0.6807,5;7;11;35;42;46
6,0,0.606261,0.515506,0.5248,0.5828,5;13;15;26;30;39;43;48
6,1,0.327966,0.613068,0.1420,0.4480,4;6;7;20;21;25;32;35;49
6,2,0.162502,0.990616,0.6739,0.2603,27;33
6,3,0.739319,0.299234,0.7166,0.2031,14;16;26;31;39;43;47
6,4,0.336373,0.828289,0.5403,0.7575,1;6;7;11;21;25;27;33;35;49
6,5,0.532340,0.708740,0.4255,0.7610,0;7;13;15;21;25;30;48
6,6,0.299791,0.815749,0.8027,0.4865,1;4;7;20;21;25;27;33;35;49
6,7,0.368358,0.673806,0.2596,0.7783,1;4;5;6;13;20;21;25;32;35;49
6,8,0.979898,0.583702,0.3569,0.5875,37
6,9,0.796755,0.725324,0.8263,0.2537,12;13;15;22;29;30;37;40;41
6,10,0.688044,0.026647,0.5593,0.5211,14;16;17;23;31;47
6,11,0.474590,0.967071,0.6785,0.7620,4;21;46
6,12,0.782904,0.776162,0.8306,0.3050,9;13;15;22;29;30;37;40;41
6,13,0.577634,0.721400,0.8058,0.3055,0;5;7;9;12;15;21;29;30;46;48
6,14,0.583523,0.170512,0.8357,0.7983,3;10;17;23;26;31;43;44;45;47
6,15,0.629025,0.619736,0.4176,0.4972,0;5;9;12;13;29;30;48
6,16,0.841167,0.147776,0.8493,0.7773,3;10;17;18;23;47
6,17,0.680727,0.031571,0.8408,0.7260,10;14;16;23;31;47
6,18,0.948205,0.109896,0.1074,0.5408,16;23
6,19,0.018937,0.313692,0.1858,0.7898,24
6,20,0.151431,0.690500,0.3276,0.7935,1;6;7;25;32;35;49
6,21,0.410377,0.774972,0.5346,0.4963,1;4;5;6;7;11;13;25;35;46;49
6,22,0.920521,0.872818,0.8508,0.7106,9;12;29;37;40;41
6,23,0.735837,0.062281,0.4744,0.3157,10;14;16;17;18;31;47
6,24,0.138082,0.207342,0.1901,0.2975,19;34;38;42
6,25,0.325050,0.662227,0.4671,0.3544,1;4;5;6;7;20;21;32;35;49
6,26,0.525477,0.313753,0.2490,0.6420,0;3;14;28;31;36;39;43;44;45
6,27,0.173182,0.912124,0.7326,0.5407,2;4;6;33;35
6,28,0.342327,0.354287,0.7058,0.3053,26;34;36;42;44;45
6,29,0.771990,0.720925,0.7849,0.7382,9;12;13;15;22;30;37;41;48
6,30,0.643309,0.693313,0.7616,0.5092,0;5;9;12;13;15;29;48
6,31,0.610077,0.192264,0.1694,0.6016,3;10;14;17;23;26;39;43;44;45;47
6,32,0.246519,0.558087,0.2478,0.2844,1;7;20;25;35;49
6,33,0.224867,0.972911,0.3589,0.3488,2;4;6;27
6,34,0.297615,0.289004,0.3086,0.3413,24;28;36;38;42;44;45
6,35,0.207278,0.704988,0.7030,0.7724,1;4;6;7;20;21;25;27;32;49
6,36,0.317041,0.348803,0.3416,0.6337,26;28;34;42;44;45
6,37,0.933700,0.795405,0.1091,0.5922,8;9;12;22;29;40;41
6,38,0.273458,0.121874,0.6542,0.2373,24;34;42;44
6,39,0.676622,0.379694,0.1946,0.3841,0;3;26;31;43;48
6,40,0.980161,0.818377,0.4243,0.5015,9;12;22;37;41
6,41,0.954609,0.804616,0.8161,0.6221,9;12;22;29;37;40
6,42,0.290453,0.287630,0.3488,0.2704,24;28;34;36;38;44;45
6,43,0.714141,0.346364,0.8329,0.3770,0;3;14;26;31;39;47
6,44,0.442376,0.256444,0.5917,0.3315,14;26;28;31;34;36;38;42;45
6,45,0.479079,0.202068,0.2069,0.2919,14;26;28;31;34;36;42;44
6,46,0.538578,0.933024,0.6982,0.5634,11;13;21
6,47,0.696171,0.137273,0.4327,0.5295,3;10;14;16;17;23;31;43
6,48,0.615677,0.586830,0.4767,0.5225,0;5;13;15;29;30;39
6,49,0.242458,0.669834,0.6313,0.3310,1;4;6;7;20;21;25;32;35
7,0,0.247465,0.754740,0.2146,0.5961,2;8;14;20;25;35;42;44;46
7,1,0.873135,0.081870,0.2768,0.3803,18;19;36
7,2,0.446748,0.703766,0.1488,0.7691,0;5;14;20;25;29;33;41;46;48
7,3,0.078103,0.564169,0.8038,0.7469,4;8;9;12;28;42;45
7,4,0.061758,0.547649,0.6008,0.4563,3;8;9;12;16;28;42;45
7,5,0.505487,0.572702,0.4965,0.7834,2;11;20;22;25;26;29;32;41;48
7,6,0.149852,0.328118,0.8533,0.6028,9;12;16;28;31;34;39;45;49
7,7,0.520342,0.116240,0.7286,0.3912,36;43
7,8,0.205401,0.583148,0.4331,0.2895,0;3;4;9;12;25;28;45
7,9,0.090942,0.510375,0.4012,0.6526,3;4;6;8;12;16;28;45
7,10,0.808692,0.453432,0.4788,0.7096,15;22;23;26;27;32;37;47
7,11,0.513248,0.456798,0.3406,0.6245,5;22;26;27;32
7,12,0.057737,0.462378,0.7446,0.7488,3;4;6;8;9;16;28;31;45
7,13,0.806915,0.723280,0.5499,0.7807,15;24;38;41;48
7,14,0.395949,0.816453,0.5458,0.2805,0;2;20;25;29;33;35;44;46
7,15,0.745804,0.578311,0.2943,0.3220,10;13;22;26;32;37;41;48
7,16,0.045290,0.344529,0.6174,0.7533,4;6;9;12;31;34;39;45
7,17,0.063760,0.994124,0.7777,0.2555,35;44
7,18,0.934583,0.069019,0.6797,0.3143,1;19;36
7,19,0.933776,0.031735,0.3148,0.6042,1;18
7,20,0.408867,0.768972,0.5823,0.7242,0;2;5;14;25;29;33;35;41;44;46;48
7,21,0.765828,0.978333,0.2505,0.6570,24;38
7,22,0.645881,0.420362,0.6794,0.5353,5;10;11;15;26;27;32;37;47
7,23,0.992857,0.382480,0.4835,0.7217,10;37
7,24,0.869620,0.906767,0.3664,0.7742,13;21;38
7,25,0.375646,0.682730,0.1123,0.7623,0;2;5;8;14;20;29;33;46
7,26,0.661793,0.539300,0.8697,0.2704,5;10;11;15;22;27;32;37;41;48
7,27,0.653534,0.347770,0.8997,0.4874,10;11;22;26;32;37;47
7,28,0.178474,0.537258,0.2941,0.5626,3;4;6;8;9;12;34;45
7,29,0.528843,0.727858,0.2636,0.7491,2;5;14;20;25;33;41;48
7,30,0.222690,0.003473,0.5417,0.6653,40
7,31,0.022735,0.298363,0.4045,0.5202,6;12;16;39;45
